PMID,Title,Consumer Wearable Brand(s),Reviewer 1 Initial Decision,Reviewer 2 Initial Decision,Final Consensus Decision
39009776,Consumer wearable devices for evaluation of heart rate control using digoxin versus beta-blockers: the RATE-AF randomized trial,Fitbit Charge 2,Include,Include,Include
39059887,"Feasibility of wearable sensor signals and self-reported symptoms to prompt at-home testing for acute respiratory viruses in the USA (DETECT-AHEAD): a decentralised, randomised controlled trial",Fitbit Sense smartwatch,Include,Include,Include
39079612,Design and methods of the StepByStep randomized trial of a mobile health and social media physical activity intervention among adolescent and young adult survivors of childhood cancer: A Report from the Children!s Oncology Group,Fitbit Inspire HR | Fitbit Inspire 2 | Fitbit Inspire 3,Include,Include,Include
39084143,Effect of a physical exercise program supported by wearable technology in children with drug-resistant epilepsy. A randomized controlled trial,Fitbit Flex 2 activity wristband,Include,Include,Include
39302678,Wearable Device–Based Intervention for Promoting Patient Physical Activity After Lung Cancer Surgery: A Nonrandomized clinical trial,"Fitbit Versa, version 1 | Fitbit Flex, version 1",Exclude,Include,Include
39363984,Improving physical and mental health in women with breast cancer undergoing anthracycline-based chemotherapy through wearable device-based aerobic exercise: a randomized controlled trial,Huawei Band 6 smart bracelet,Include,Include,Include
39380627,Enhancing cardiac postoperative care: a smartwatch-integrated remote telemonitoring platform for health screening with ECG analysis,Samsung Galaxy Watch5 Smartwatch,Include,Include,Include
39413991,Randomized controlled trial of a multiple technology-based physical activity intervention for Latina adolescents: Recruitment strategies and baseline data from the Chicas Fuertes trial,Fitbit Inspire HR,Include,Include,Include
39486024,Efficacy of a Wearable Activity Tracker With Step-by-Step Goal-Setting on Older Adults! Physical Activity and Sarcopenia Indicators: Clustered Trial,Asus VivoWatch BP (HC-A04; Asus),Exclude,Exclude,Exclude
39543753,Effects of a dog activity tracker on owners’ walking: a community-based randomised controlled trial,FitBark2 dog activity tracker,Exclude,Exclude,Exclude
39549539,Effectiveness of supporting lifestyle change in pregnant mothers with obesity through the wearable internet-of-things (SLIM) -intervention on self-efficacy in weight management in pregnant women: A quasi-experimental trial,Oura smart ring,Include,Include,Include
39556810,Effectiveness of the Support From Community Health Workers and Health Care Professionals on the Sustained Use of Wearable Monitoring Devices Among Community-Dwelling Older Adults: Feasibility Randomized Controlled Trial,ProVista Care smartwatch (Provista Group),Exclude,Exclude,Exclude
39881435,"The Effects of Self-Monitoring Using a Smartwatch and Smartphone App on Stress Awareness, Self-Efficacy, and Well-Being–Related Outcomes in Police Officers: Longitudinal Mixed Design Study",Garmin Forerunner 255 smartwatch,Include,Include,Include
40071827,Using a Wearable Brain Activity Sensing Device in the Treatment of Long COVID Symptoms in an Open-Label Clinical Trial,Muse-S S-EEG headband | Fitbit wrist wearable device,Exclude,Include,Exclude
40172889,App-Based Physical Activity Intervention Among Women With Prior Hypertensive Pregnancy Disorder,Fitbit Inspire 2,Include,Include,Include
40229981,A 12-week consumer wearable activity tracker-based intervention reduces sedentary behaviour and improves cardiometabolic health in free-living sedentary adults: a randomised controlled trial,Polar M200 activity tracker,Include,Include,Include
40267933,"Mindfulness-based stress reduction training supplemented with physiological signals from smartwatch improves mindfulness and reduces stress, but not anxiety and depression",Garmin Venu SQ smartwatch,Include,Include,Include
40328439,Working Women Walking Program: A Sequential Multiple Assignment Randomized Trial,Fitbit Charge 2 | Fitbit Charge 3,Include,Include,Include
40340847,Effects of Integrating Wearable Activity Trackers With a Home-Based Multicomponent Exercise Intervention on Fall-Related Parameters and Physical Function in Older Adults: Randomized Controlled Trial,"HL5, Seven Elec wearable activity tracker",Exclude,Exclude,Exclude
40358761,The impact of wearing a heart rate monitoring wristband on museum visitors’ memory and emotions: a randomized controlled trial,Amazfit Band 5 wristband,Exclude,Exclude,Exclude
40453481,Integration of Wearables Into a Cardiac Rehabilitation Program and Its Impact on Physical Activity and Exercise Capacity in Older Patients With Cardiovascular Disease,Fitbit Versa 3,Include,Include,Include
40471995,"Remote early detection of SARS-CoV-2 infections using a wearable-based algorithm: Results from the COVID-RED study, a prospective randomised single-blinded crossover trial","Ava bracelet (Ava AG, Zürich, Switzerland)",Exclude,Exclude,Exclude
40610361,"Development of machine learning prediction models for systemic inflammatory response following controlled exposure to a live attenuated influenza vaccine in healthy adults using multimodal wearable biosensors in Canada: a single-centre, prospective controlled trial",Oura ring Gen 2 | Biobeat watch,Exclude,Exclude,Exclude
40810942,Digital Biometric Measures in Long COVID: A Secondary Analysis of the STOP-PASC randomized clinical trial,Apple Watch Series 4 or newer,Include,Include,Include
41168443,Adjunctive smart ring monitoring during digital cognitive behavioral therapy for insomnia,Oura Ring (Model: Heritage),Include,Include,Include
41191864,Personal Activity Trackers and Family Engagement in a Pediatric Obesity Intervention: Randomized Controlled Trial,Fitbit personal activity tracker,Include,Include,Include
41334739,Effect of Gamification Plus Automated Coaching to Increase Physical Activity Among Patients With Peripheral Artery Disease: The GAMEPAD Randomized Controlled Trial,Fitbit Inspire 1 | Fitbit Inspire 2,Include,Include,Include
41343702,Mobile-Based Ecological Momentary Intervention for Improving Physical Activity in Adults Without Regular Physical Activity: Pilot Randomized Controlled Trial,Fitbit Sense | Fitbit Sense 2,Include,Include,Include
41380028,A Multiple Technology–Based Physical Activity Intervention for Latina Adolescents: Results From the Chicas Fuertes Randomized Controlled Trial,Fitbit Inspire HR,Include,Include,Include
41468532,Engagement of African American Women With Fitness Trackers and Mobile Technology for Shared Physical Activity Goals: Mixed Methods Study,Fitbit Inspire,Include,Include,Include
41603820,Patient-Led Smartwatch ECG Monitoring After AF Ablation A Randomized Trial,Apple Watch Series 5,Include,Include,Include
41603826,Patient-Led Smartwatch ECG Follow-Up Strategy After AF Ablation Clinical Trial Design and Implementation,Apple Watch Series 5 | Apple Watch Series 4 or later (with ECG app),Include,Include,Include
41629267,A digital platform with activity tracking for energy management support in long COVID: a randomised controlled trial,Fitbit,Include,Include,Include
32579613,A novel scaling methodology to reduce the biases associated with missing data from commercial activity monitors,Fitbit,Include,Include,Include
32755887,Wearable Device Heart Rate and Activity Data in an Unsupervised Approach to Personalized Sleep Monitoring: Algorithm Validation,Fitbit,Include,Include,Include
32897235,Neural Network–Based Algorithm for Adjusting Activity Targets to Sustain Exercise Engagement Among People Using Activity Trackers: Retrospective Observation and Algorithm Development Study,Fitbit,Include,Include,Include
32961750,Detection of Gait Abnormalities for Fall Risk Assessment Using Wrist-Worn Inertial Sensors and Deep Learning,Mobvoi TicWatch E smartwatch,Exclude,Exclude,Exclude
33321780,Pre-Emption of Affliction Severity Using HRV Measurements from a Smart Wearable; Case-Study on SARS-Cov-2 Symptoms,Apple Watch | Fitbit | Garmin smart bands,Include,Include,Include
33326935,Comparing Methods to Identify Wear-Time Intervals for Physical Activity With the Fitbit Charge 2,Fitbit,Include,Include,Include
33406692,Automatic Resting Tremor Assessment in Parkinson’s Disease Using Smartwatches and Multitask Convolutional Neural Networks,"Unspecified Android Wear consumer smartwatch (2019 model, 4 GB memory, ±2 g calibrated accelerometer)",Exclude,Include,Exclude
33521225,iWash: A smartwatch handwashing quality assessment and reminder system with real-time feedback in the context of infectious disease,Apple Watch Series 4,Include,Include,Include
33634189,Evaluation framework for selecting wearable activity monitors for research,Garmin Vivofit 2 | Withings Activite | Withings Go | Striiv Fusion | Withings Pulse O2 | Fitbit Charge HR | Withings Steel HR | Garmin Vivosmart HR | Garmin Vivosmart HR+ | Garmin Forerunner 35,Exclude,Exclude,Exclude
33637842,Reply: Matters Arising ‘Investigating sources of inaccuracy in wearable optical heart rate sensors’,,Exclude,Exclude,Exclude
33646135,Using Fitbit as an mHealth Intervention Tool to Promote Physical Activity: Potential Challenges and Solutions,Fitbit,Include,Include,Include
33654480,Diagnosis and combating COVID-19 using wearable Oura smart ring with deep learning methods,Oura smart ring,Include,Include,Include
33804317,Out-of-Distribution Detection of Human Activity Recognition with Smartwatch Inertial Sensors,Smartwatch with 9-axis IMU | Smartwatch with 6-axis IMU (simulated from wrist IMU data),Exclude,Exclude,Exclude
33880842,Can we trust a smartwatch ECG? Potential and limitations,Apple Watch Series 4 | Apple Watch Series 5 | Apple Watch Series 6 | Fitbit Sense | Samsung Galaxy Watch Active 2 | Samsung Galaxy Watch 3 | Withings Move ECG | Withings Scanwatch,Include,Include,Include
33979355,Development and validation of smartwatch-based activity recognition models for rigging crew workers on cable logging operations,Garmin Fenix 5S Plus,Include,Include,Include
34451093,Indirect Estimation of Breathing Rate from Heart Rate Monitoring System during Running,Polar H10 heart rate monitoring system | Polar ProStrap chest belt,Exclude,Exclude,Exclude
34505836,Using an Individual-Centered Approach to Gain Insights From Wearable Data in the Quantified Flu Platform: Netnography Study,Fitbit | Oura Ring | Google Fit | Apple Watch | Apple Health | Garmin,Include,Include,Include
34713139,A Multi-Level Classification Approach for Sleep Stage Prediction With Processed Data Derived From Consumer Wearable Activity Trackers,Fitbit Charge 2,Include,Include,Include
34770543,Atrial Fibrillation Classification with Smart Wearables Using Short-Term Heart Rate Variability and Deep Convolutional Neural Networks,Samsung Simband smart wristwatch | Samsung Galaxy S9 smartphone | Samsung Galaxy Note 8 smartphone | Samsung Galaxy Note 9 smartphone,Include,Include,Include
34948736,Accuracy of Algorithm to Non-Invasively Predict Core Body Temperature Using the Kenzen Wearable Device,Kenzen wearable device,Exclude,Exclude,Exclude
35003845,Monte Carlo analysis of optical heart rate sensors in commercial wearables: the effect of skin tone and obesity on the photoplethysmography (PPG) signal,Apple Watch Series 5 | Fitbit Versa 2 | Polar M600,Include,Include,Include
35039601,Heterogeneous digital biomarker integration outperforms patient self-reports in predicting Parkinson’s disease,Apple iPhone (mPower smartphone app),Exclude,Exclude,Exclude
35161734,On the Security of Bluetooth Low Energy in Two Consumer Wearable Heart Rate Monitors/Sensing Devices,Fitbit Charge (Bluetooth LE 4.1 wrist heart rate wearable) | Polar H7 Heart Rate Sensor (Bluetooth LE 4.0 chest wearable),Exclude,Exclude,Exclude
35265927,Analysis and postprocessing of ECG or heart rate data from wearable devices beyond the proprietary cloud and app infrastructure of the vendors,Apple Watch | Samsung Galaxy Watch 3 | Fitbit Sense | Withings ScanWatch | AliveCor KardiaMobile 6L | AliveCor KardiaMobile | Polar BLE heart rate sensor | Microsoft Band 2 | NextSENSE Pulse sensor,Exclude,Exclude,Exclude
35271148,HRV Monitoring Using Commercial Wearable Devices as a Health Indicator for Older Persons during the Pandemic,Fitbit Inspire HR,Include,Include,Include
35361854,Human activity recognition of children with wearable devices using LightGBM machine learning,Apple Watch,Include,Include,Include
35393434,"Emognition dataset: emotion recognition with self-reports, facial expressions, and physiology using wearables",Muse 2 | Empatica E4 | Samsung Galaxy Watch SM-R810,Exclude,Exclude,Exclude
35394442,A Participatory Design Approach to Develop Visualization of Wearable Actigraphy Data for Health Care Professionals: Case Study in Qatar,Fitbit Dashboard | Fitbit wearable (unspecified model),Exclude,Include,Include
35550526,Machine learning‑based optimization of pre‑symptomatic COVID‑19 detection through smartwatch,,Exclude,Exclude,Exclude
35562527,Detecting sleep outside the clinic using wearable heart rate devices,"Apple Watch (Series 2,3)",Include,Include,Include
35591223,Selection of Noninvasive Features in Wrist-Based Wearable Sensors to Predict Blood Glucose Concentrations Using Machine Learning Algorithms,Basis Peak | Empatica Embrace | Empatica E4 | Viatom Checkme O2,Exclude,Exclude,Exclude
35603373,RNN-based deep learning for physical activity recognition using smartwatch sensors: A case study of simple and complex activity recognition,LG G Watch,Exclude,Exclude,Exclude
35650267,A multimodal sensor dataset for continuous stress detection of nurses in a hospital,Empatica E4 wristband,Include,Include,Include
35714504,PCovNet: A presymptomatic COVID-19 detection framework using deep learning model using wearables data,Fitbit smartwatch | Fitbit fitness tracker,Include,Include,Include
35842728,"Dataset of ""tness trackers and smartwatches to measuring physical activity in research",,Exclude,Exclude,Exclude
35916709,Diagnosis of Atrial Fibrillation Using Machine Learning With Wearable Devices After Cardiac Surgery:Algorithm Development Study,Apple Watch Series 4,Include,Include,Include
35957328,Effects of Missing Data on Heart Rate Variability Metrics,Apple Watch,Include,Include,Include
36015730,A Conditional GAN for Generating Time Series Data for Stress Detection in Wearable Physiological Sensor Data,Empatica E4 wristband,Include,Include,Include
36050372,A method for intelligent allocation of diagnostic testing by leveraging data from commercial wearable devices: a case study on COVID-19,Fitbit | Garmin | Apple Watch,Include,Include,Include
36079778,Personalized Metabolic Avatar: A Data Driven Model of Metabolism for Weight Variation Forecasting and Diet Plan Evaluation,Xiaomi Mi Band 6 | Xiaomi Mi Body Composition Scale,Include,Include,Include
36173371,An interactive fitness-for-use data completeness tool to assess activity tracker data,Fitbit,Include,Include,Include
36229593,Intelligent risk prediction in public health using wearable device data,Fitbit,Include,Include,Include
36294724,"Comparative Analysis Between Individual, Centralized, and Federated Learning for Smartwatch Based Stress Detection",Empatica E4 smartwatch,Include,Include,Include
36298346,Validity of Ultra-Short-Term HRV Analysis Using PPG—A Preliminary Study,"Bora Band (Biosency, Cesson-Sévigné, France)",Exclude,Exclude,Exclude
36365953,Unsupervised Early Detection of Physical Activity Behaviour Changes from Wearable Accelerometer Data,Misfit wearable sensor | Fitbit wearable sensor,Exclude,Exclude,Exclude
36501894,Recommendations for Identifying Valid Wear for Consumer-Level Wrist-Worn Activity Trackers and Acceptability of Extended Device Deployment in Children,Fitbit Charge HR,Include,Include,Include
36566954,Behaviour recommendations with a deep learning model and genetic algorithm for health debt characterisation,Withings smartwatch,Include,Include,Include
36772096,A New Post-Processing Proposal for Improving Biometric Gait Recognition Using Wearable Devices,Motorola Moto 360 smartwatch,Exclude,Exclude,Exclude
36772638,Predicting Emotion with Biosignals: A Comparison of Classification and Regression Models for Estimating Valence and Arousal Level Using Wearable Sensors,Empatica E4 wrist device,Include,Include,Include
36780211,A Smartwatch System for Continuous Monitoring of Atrial Fibrillation in Older Adults After Stroke or Transient Ischemic Attack: Application Design Study,Samsung Gear S3 Classic smartwatch | Samsung Galaxy Watch 3 (41 mm) smartwatch,Include,Exclude,Include
36827427,How many days are needed? Measurement reliability of wearable device data to assess physical activity,Fitbit Flex,Include,Include,Include
36831919,Wearable Electrocardiography for Physical Activity Monitoring: Definition of Validation Protocol and Automatic Classification,Samsung Galaxy Watch3,Include,Include,Include
36904590,Online Learning for Wearable EEG-Based Emotion Classification,Muse S Headband Gen 1 | Neurosity Crown | Emotiv EPOC headset,Exclude,Exclude,Exclude
36904595,The Virtual Sleep Lab—A Novel Method for Accurate Four-Class Sleep Staging Using Heart-Rate Variability from Low-Cost Wearables,POLAR H10 chest strap (Model: 1W) | POLAR Verity Sense optical heart-rate sensor (Model: 4J),Exclude,Exclude,Exclude
36913222,Situation-Aware BDI Reasoning to Detect Early Symptoms of Covid 19 Using Smartwatch,Fitbit | Oura Ring,Include,Include,Include
36937691,Heart rate and oxygen uptake kinetics obtained from continuous measurements with wearable devices during outdoor walks of patients with COPD,"Polar Belt with Polar RS800CX (Polar Electro, Finland)",Exclude,Include,Exclude
36963907,Machine learning COVID-19 detection from wearables,,Exclude,Exclude,Exclude
36992065,Using a Hybrid Neural Network and a Regularized Extreme Learning Machine for Human Activity Recognition with Smartphone and Smartwatch,LG G Watch | Google Nexus 5 | Google Nexus 5X | Samsung Galaxy S5,Exclude,Exclude,Exclude
37006447,PCovNet+: A CNN-VAE anomaly detection framework with LSTM embeddings for smartwatch-based COVID-19 detection,Fitbit | Apple Watch | Garmin,Include,Include,Include
37143920,CovidRhythm: A Deep Learning Model for Passive Prediction of Covid-19 Using Biobehavioral Rhythms Derived From Wearable Physiological Data,Fitbit | Fitbit Charge 3 | Fitbit Charge 4,Include,Include,Include
37195925,AI-Driven sleep staging from actigraphy and heart rate,Philips Respironics Actiwatch Spectrum | Ambulatory Monitoring Inc. Sleepwatch-O | Apple Watch Series 2 | Apple Watch Series 3,Exclude,Exclude,Exclude
37268686,"K-EmoPhone: A Mobile and Wearable Dataset with In-Situ Emotion, Stress, and Attention Labels",Microsoft Band 2 smartwatch,Exclude,Exclude,Exclude
37299733,Longitudinal Studies of Wearables in Patients with Diabetes: Key Issues and Solutions,Dexcom G6 | FreeStyle Libre | Empatica E4 | Bittium Faros | Polar Verity Sense,Exclude,Exclude,Exclude
37299947,Global Stress Detection Framework Combining a Reduced Set of HRV Features and Random Forest Model,Apple Watch,Exclude,Exclude,Exclude
37447713,On the Reliability of Wearable Technology: A Tutorial on Measuring Heart Rate and Heart Rate Variability in the Wild,Apple Watch | Fitbit | Garmin | Miband | Empatica E4 | Biovotion | Biostrap,Exclude,Exclude,Exclude
37608712,Efficient assessment of real-world dynamics of circadian rhythms in heart rate and body temperature from wearable data,TempTraq smart wearable thermometer | Apple Watch | Fitbit | Mi Band,Exclude,Exclude,Exclude
37837123,Predicting a Fall Based on Gait Anomaly Detection: A Comparative Study of Wrist-Worn Three-Axis and Mobile Phone-Based Accelerometer Sensors,Empatica E4 wristband | Xiaomi Redmi 7 smartphone,Include,Include,Include
37960685,"Quantifying Digital Biomarkers for Well-Being: Stress, Anxiety, Positive and Negative Affect via Wearable Devices and Their Time-Based Predictions",Garmin watch,Include,Include,Include
38161741,Using wearable activity trackers for research in the global south: Lessons learned from adolescent psychotherapy research in Kenya,Xiaomi Mi | Fitbit Charge,Include,Include,Include
38177830,Developing a novel mobile application for cognitive behavioral therapy for insomnia for people with schizophrenia: integration of wearable and environmental sleep sensors,Fitbit Charge 5 | Withings sleep mat,Include,Include,Include
38767963,Using wearable skin temperature data to advance tracking and characterization of the menstrual cycle in a real-world setting,"Oura ring (Generation 2, firmware 2.43.1; Oura Health Oy, Oulu, Finland)",Exclude,Include,Include
38793858,"Human Activity Recognition Algorithm with Physiological and Inertial Signals Fusion: Photoplethysmography, Electrodermal Activity, and Accelerometry",Empatica E4 wristband,Include,Include,Include
38793906,Generating Synthetic Health Sensor Data for Privacy-Preserving Wearable Stress Detection,Empatica E4 wristband,Include,Include,Include
38898046,EmoWear: Wearable Physiological and Motion Dataset for Emotion Recognition and Context Awareness,Empatica E4 | Zephyr BioHarness 3,Exclude,Exclude,Exclude
38915001,A tree-based explainable AI model for early detection of Covid-19 using physiological data,Fitbit devices | Fitbit-Versa 2 smartwatches,Include,Include,Include
39014361,Early detection of cardiorespiratory complications and training monitoring using wearable ECG sensors and CNN,Apple Watch Series | Fitbit Sense,Include,Include,Include
39113371,"Data Collection and Management of mHealth, Wearables, and Internet of Things in Digital Behavioral Health Interventions With the Awesome Data Acquisition Method (ADAM): Development of a Novel Informatics Architecture",Fitbit Charge 2,Include,Include,Include
39178034,Establishing a Consensus-Based Framework for the Use of Wearable Activity Trackers in Health Care: Delphi Study,Fitbit (consumer-oriented wearable activity trackers; specific models not stated),Exclude,Exclude,Exclude
39226927,Adaptive and self-learning Bayesian filtering algorithm to statistically characterize and improve signal-to-noise ratio of heart-rate data in wearable devices,Garmin Vivoactive 4 smartwatch,Include,Include,Include
39275619,A Crowdsourced AI Framework for Atrial Fibrillation Detection in Apple Watch and Kardia Mobile ECGs,Apple Watch Series 4 | Apple Watch Series 5 | Apple Watch Series 6 | AliveCor KardiaMobile 1L | AliveCor KardiaMobile 6L,Exclude,Exclude,Exclude
39348270,MS Pattern Explorer: interactive visual exploration of temporal activity patterns for multiple sclerosis,Fitbit Inspire HR,Include,Include,Include
39771843,Comparison of EEG Signal Spectral Characteristics Obtained with Consumer- and Research-Grade Devices,PSBD Headband Pro | PSBD Headphones Lite | Muse S Gen 2,Exclude,Exclude,Exclude
39813160,Lessons learned on the road to improve sleep data extracted from a Fitbit device,Fitbit Charge 5 | Fitbit Charge 6 | Fitbit Sense,Include,Include,Include
40017268,Wearables as Translational Physiomarkers and Clinical Endpoints in Insomnia Research: Can Sleep Research Advance Psychiatry?,Apple Watch,Include,Include,Include
40028387,"Wearable technology and daily diaries for studying mental health: lessons learned from pilot studies in Kampala, Uganda",Garmin vívoactive 3 smartwatch | Garmin vívoactive 3 smartwatches,Exclude,Include,Include
40216076,Design and baseline characteristics of an implementation study to increase activity with social incentives: The STEP together trial,Fitbit Inspire 2 | Fitbit Inspire 3,Include,Include,Include
40360861,"Stress in action wearables database: A database of noninvasive wearable monitors with systematic technical, reliability, validity, and usability information",Apple Watch Series 6 | Fitbit Sense 2 | Oura Ring Gen3 | Fitbit Charge 5 | Garmin vivosmart 5 | Garmin vivosmart 4 | Garmin vivoactive 5 | Garmin vivoactive 4 | WHOOP 3.0 | WHOOP 4.0 | Withings ScanWatch 2 | Withings Scanwatch | Google Pixel Watch 2 | Corsano Cardiowatch 287–1 | Corsano Cardiowatch 287–2 | NOWATCH | Garmin Index BPM,Exclude,Exclude,Exclude
40383809,An ensemble deep learning framework for emotion recognition through wearable devices multi-modal physiological signals,Samsung Galaxy Watch (Samsung Galaxy SM-R810) | Empatica E4 wristband | MUSE 2 EEG headband,Exclude,Exclude,Exclude
40397926,"Testing the Impact of Intensive, Longitudinal Sampling on Assessments of Statistical Power and Effect Size Within a Heterogeneous Human Population: Natural Experiment Using Change in Heart Rate on Weekends as a Surrogate Intervention",Oura Ring Gen2 (Oura Health Oy),Include,Include,Include
40568614,Selecting Wearable Devices to Measure Cardiovascular Functions in Community-Dwelling Adults: Application of a Practical Guide for Device Selection,Apple Watch Series 9 | Fitbit Charge 6 | Garmin vívosmart 5 | Oura Ring Gen3 | Polar Vantage M2 Watch | Samsung Galaxy Watch7 | WHOOP 4.0 Band | Aktiia Bracelet | Biobeat Wrist Monitor | Biofourmis Everion+ | CardiacSense Wristwatch | Corsano Cardiowatch Bracelet | Firstbeat Bodyguard 3 Heart Rate Monitor | Firstbeat Textile ECG Strap | Hexoskin Smart Shirt | LiveMetric LiveOne | Omron HEM-6410T “HeartGuide” | Polar H10 Heart Rate Sensor | VitalConnect VitalPatch RTM | Zephyr BioPatch HP,Exclude,Exclude,Exclude
40605186,Fitbit Physical Activity and Sleep Data in the All of Us Research Program: Data Exploration and Processing Considerations for Research,Fitbit Charge series | Fitbit Versa series | Fitbit Inspire series | Fitbit Sense | Fitbit Alta | Fitbit Luxe | Fitbit Blaze | Fitbit Ionic | Fitbit Flex | Fitbit One | Fitbit Zip | Fitbit Surge,Include,Include,Include
40720818,Capturing Real-World Habitual Sleep Patterns With a Novel User-Centric Algorithm to Preprocess Fitbit Data in the All of Us Research Program: Retrospective Observational Longitudinal Study,Fitbit (various commercial models),Include,Include,Include
40721804,Considerations in using heart rate-based physical activity estimates from consumer wearables in individuals with varying weight status,Fitbit,Include,Include,Include
40732618,SmartBoot: Real-Time Monitoring of Patient Activity via Remote Edge Computing Technologies,Smartwatch (brand not specified) paired with Sensoria Core microelectronic unit,Exclude,Exclude,Exclude
40813712,A personal health large language model for sleep and fitness coaching,Fitbit,Include,Include,Include
40849317,a continuous real-world dataset comprising wearable-based heart rate variability alongside sleep diaries,Samsung Galaxy Watch Active 2,Include,Include,Include
40998605,"Gait analysis on daily data using IMUs in smart phones, watch and earbuds",iPhone 14 | Apple Watch Series 10 | AirPods Pro Gen 2,Include,Include,Include
41258162,a multimodal physiological dataset for non-invasive blood glucose estimation,Empatica E4 watch | Dexcom G6 continuous glucose monitor,Include,Include,Include
41428352,Scalable Big Data Platform With End-to-End Traceability for Health Data Monitoring in Older Adults: Development and Performance Evaluation,Fitbit Sense,Include,Include,Include
41526380,Transforming wearable data into personal health insights using large language model agents,Google Fitbit | Google Pixel Watch,Include,Include,Include
41551038,Hierarchical heated markov modeling for synthesizing activity data from wearable devices,Fitbit Inspire HR,Include,Include,Include
41624307,Paired clinical 12 lead and apple watch electrocardiogram data repository from childhood cancer survivors authors,Apple Watch Series 7,Include,Include,Include
34103002,Using a consumer-based wearable activity tracker for physical activity goal setting and measuring steps in pregnant women with gestational diabetes mellitus: exploring acceptance and validity,Fitbit,Include,Include,Include
32210441,Using consumer-wearable technology for remote assessment of physiological response to stress in the naturalistic environment,Fitbit,Include,Include,Include
32211478,Wearable activity sensors and early pain after total joint arthroplasty,Fitbit,Include,Include,Include
32254044,Usability of Wearable Devices to Remotely Monitor Sleep Patterns Among Patients With Ischemic Heart Disease: Observational Study,Shine (Misfit),Exclude,Exclude,Exclude
32332025,Characterisation of ICU sleep by a commercially available activity tracker and its agreement with patient-perceived sleep quality,Fitbit,Include,Include,Include
32319961,Toward Continuous Social Phenotyping:Analyzing Gaze Patterns in an Emotion Recognition Task for Children With Autism Through Wearable Smart Glasses,Google Glass,Exclude,Exclude,Exclude
32354448,Physical Activity and Atrial Fibrillation: Data from Wearable Fitness Trackers,Fitbit,Include,Include,Include
32364158,Analysis of physiological data from long￾term physical exercise: A basis for improving the health of rural residents of Korea,Apple Watch Nike+ (Apple Inc.) | Apple Watch 2 Nike+ (Apple Inc.),Include,Include,Include
32367477,Impact of Ramadan on Physical Activity and Sleeping Patterns in Individuals with Type 2 Diabetes: The First Study Using Fitbit Device,Fitbit,Include,Include,Include
32429258,How Are Wearable Activity Trackers Adopted in Older Adults? Comparison between Subjective Adoption Attitudes and Physical Activity Performance,Withings Go,Include,Include,Include
32501803,Wearable Activity Trackers for Monitoring Adherence to Home Confinement During the COVID-19 Pandemic Worldwide: Data Aggregation and Analysis,Withings activity trackers (wristwatch with embedded accelerometer for step counting),Include,Include,Include
32525921,Influence of physical activity on serum vitamin D levels in people with multiple sclerosis,Beurer AS80 activity tracker,Exclude,Exclude,Exclude
32569509,Using Fitbit data to monitor the heart rate evolution patterns of college students,Fitbit,Include,Include,Include
32665704,Autonomic nervous system changes detected with peripheral sensors in the setting of epileptic seizures,Empatica E4 wristband,Include,Include,Include
32667039,Investigating the within-person relationships between activity levels and sleep duration using Fitbit data,Fitbit,Include,Include,Include
32706663,Experiences With Wearable Activity Data During Self-Care by Chronic Heart Patients: Qualitative Study,Fitbit,Include,Include,Include
32717070,"A multitrait, multimethod matrix approach for a consumer-grade wrist-worn watch measuring sleep duration and continuity",Withings Steel HR watch | Withings Steel watch | Withings Pulse Ox tracker | Withings Pulse O2 | Withings Pulse Activity tracker | Withings Pulse,Include,Include,Include
32746893,Physical activity measured using wearable activity tracking devices associated with gout flares,Fitbit,Include,Include,Include
32750073,Accuracy of consumer-based activity trackers as measuring tool and coaching device in patients with COPD and healthy controls,Fitbit,Include,Include,Include
32755884,Effectiveness of a Smartphone App With a Wearable Activity Tracker in Preventing the Recurrence of Mood Disorders: Prospective Case-Control Study,Fitbit,Include,Include,Include
32763872,Translatability of a Wearable Technology Intervention to Increase Adolescent Physical Activity: Mixed Methods Implementation Evaluation,Fitbit,Include,Include,Include
32833515,Trends in new diagnoses of atrial fibrillation following release of an ECG-capable smartwatch,Apple Watch Series (including Apple Watch Series 4 with single-lead ECG feature),Include,Include,Include
32896202,Biometric and Psychometric Remote Monitoring and Cardiovascular Risk Biomarkers in Ischemic Heart Disease,Fitbit,Include,Include,Include
32970482,Use of Wearable Activity Tracker in Patients With Cancer Undergoing Chemotherapy: Toward Evaluating Risk of Unplanned Health Care Encounters,Microsoft Band 2,Exclude,Exclude,Exclude
32990631,"Evaluating the Relationship Between Fitbit Sleep Data and Self-Reported Mood, Sleep, and Environmental Contextual Factors in Healthy Adults: Pilot observational cohort Study",Fitbit,Include,Include,Include
33018893,Digital Image Processing Features of Smartwatch Photoplethysmography for Cardiac Arrhythmia Detection,"Simband 2 (Samsung Digital Health, San Jose, CA, USA) smartwatch",Include,Exclude,Include
33032917,The use of an activity tracker to objectively measure inpatient activity after bariatric surgery,Fitbit,Include,Include,Include
33092330,Smart technology for physical activity and health assessment during COVID-19 lockdown,,Exclude,Exclude,Exclude
33137470,Deep learning with wearable based heart rate variability for prediction of mental and general health,"Biobeam band (BioBeats Group Ltd., London)",Exclude,Exclude,Exclude
